GC0299;via G. Cagna (ang. via dei Salinieri);
GC0301;via G. Cagna (ang. via Curie);10
GC0302;via G. Cagna (ang. via Baccelli);
GC0814;Via Giulio Cesare (civ. 266);QSA
GC0816;via G. Cesare (ang.via S.Angelo);QSA,8H,8,M
GC0826;Via Giulio Cesare (fronte cimitero);QSA
GC0829;via G. Cesare (Cimitero);29S,QSA,8
GC0836;Via Giulio Cesare;QSA
GC0861;via G. Cagna (civ. N. 68);10
GC0862;via G. Cagna (ang. via Malpighi);10
GD0676;via G. Deledda;17
GG0348;via Gorgona;PF,PQ
GG0349;Via Gorgona;PF,PQ,PFS
GH0732;via G. delle Notti (fronte civ. N. 3);20,19S,19
GH0833;via G. delle Notti (civ. n. 5);20,19S,19
GI0249;via F. Gioia (fronte Chiesa);1
GI0250;via F. Gioia (lato Chiesa);1
GI0251;via F. Gioia (fronte portici);1
GI0252;via F. Gioia (lato portici);1
GI0640;via F. Gioia (Capolinea fronte Scuola);1
GN0080;Giorgino (pensilina villaggio pescatori);8G
GN0118;via Angioni (ang.via Fadda);
GN0394;Giorgino (villaggio pescatori);
GN0564;Giorgino (ex fabbrica);8G
GN0567;Giorgino (chiesetta S. Efisio _ Capolinea 8A _ );8G
GN1108;via Mons. Angioni (scuole);41
GP0760;via Peretti (palazzo INPS);19S,19,QSB,QS
GP0761;via Peretti (fronte INPS, asse mediano);19S,19,QSB,QS
GP0762;via Peretti (fronte Osp.Brotzu);19S,19,QSB,QS
GP0763;via Peretti (lato Osp.Brotzu);19S,19,QSB,QS
GP0764;via Peretti (pressi ASL);1,19S,19,QSB,QS
GP0765;via Peretti ( di fronte ASL);1,19S,19,QSB,QS
GQ0380;Lungomare Saline (dietro AIAS in linea d'area);PF,QS,PQ,PFS
GQ0383;golfo di Quartu S.E. (lato lido Finanza);PF,QS,PQ
GQ0384;Golfo di Quartu S.E. (fronte lido Carabinieri);PF,QS,PQ,PFS
GQ0385;golfo di Quartu S.E. (pressi La Marinella/Bussola);PF,QS,PQ
GQ0386;golfo di Quartu S.E. (fronte lido VV.FF.);PF,QS,PQ,PFS
GQ0387;golfo di Quartu S.E. (lato lido Mediterraneo);PF,PQ
GQ0388;golfo di Quartu S.E. (lato saline);PF,QS,PQ,PFS
GQ0389;golfo di Quartu S.E. (lato Torre);PF,PQ
GQ0392;golfo di Quartu S.E. (fronte Torre);PF,PQ
GQ0394;golfo di Quartu Sant' Elena (fronte lido Medit.);PQ
GQ0397;golfo di Quartu S.E. (lato Fortino);PF,PQ
GQ0398;golfo di Quartu S.E. (fronte Fortino);PF,PQ
GQ0399;golfo di Quartu S.E. (lato Campeggio);PF,PQ
GQ0400;golfo di Quartu S.E. (fronte Campeggio);PF,PQ
GS1125;via delle Ginestre (ang. via Toti);15
GS1126;via degli Agavi (fronte via Dei Castagni);15
GT0140;via Giotto (civ. N. 44);20
GT0141;via Giotto (civ. N. 30);20
GT0658;via San Gottardo (civ.9 Chiesa);17,QSA,8H,8,M
GT0659;via San Gottardo (civ. N. 5);17,QSA,8H,8,M
GT0661;via San Gottardo (ang. via Dorgali);17
GT0662;via San Gottardo (fronte via Q.F. Massimo);17
GT0663;via San Gottardo (fronte via Scipione);17
GT0666;Via S. Gottardo;QSA,8H,8,M
GT0742;via San Gottardo (Capolinea fronte via S.Cipriano);QSA,8H,8,M
GT0767;via Giotto (ang.via Cornalias);1,20,QSB,QS
GT0805;via Giotto (ang.via Deliperi);1,20
GT0881;via Giotto (civ. N. 15);20
GT0882;via Giotto (civ. N. 33);20
GT0947;via San Gottardo (stazione FdS);17
GU0300;via dei Giudicati (Capolinea 13);13
GV0454;via G. Vico (fronte. via F.lli Rosselli);1Q,19,QSB,QSA
GV0455;Via G.B Vico (ang via Salvemini);1Q,19,QSB,QSA
GV0456;via G. Vico (Scuole Elem.);1Q,19,QSB,QSA
GV0457;via G.B. Vico (lato via Iglesias);1Q,19,QSB,QSA
GV0992;via G. Vico ( angolo via Manara);1Q,19,QSB,QSA
GV0997;Via G. Vico (civ. 122);1Q,19,QSB,QSA
HB0520;Ospedale Brotzu (Capolinea );1
ID0744;p.zza Indipendenza;7
IG0860;via Is Guadazzonis (ingresso scuole);10
IL1123;via Marmilla;15
IM0086;via Is Mirrionis (ang. via Falletti);3,8
IM0087;via Is Mirrionis (Chiesa);16,3,8,58
IM0099;via Is Mirrionis (Ospedale Santissima Trinità);16,3,8,58
IM0100;via Is Mirrionis (fronte Ospedale);3,8
